time,price
1475877233,12.62
1475880833,12.68
1475884434,12.66
1475888035,12.64
1475891636,12.62
1475895237,12.64
1475898837,12.68
1475902438,12.69
1475906039,12.71
1475909639,12.67
1475913240,12.66
1475916841,12.68
1475920441,12.55
1475924042,12.39
1475927643,12.41
1475931244,12.31
1475934844,12.17
1475938445,12.15
1475942046,12.18
1475945647,12.25
1475949248,12.28
1475952849,12.28
1475956449,12.24
1475960050,12.26
1475963651,12.22
1475967253,12.20
1475970854,12.19
1475974454,12.18
1475978055,12.18
1475981656,12.21
1475985257,12.22
1475988858,12.20
1475992458,12.28
1475996062,12.30
1475999663,12.28
1476003264,12.28
1476006864,12.33
1476010465,12.32
1476014066,12.35
1476017667,12.38
1476021268,12.38
1476024868,12.37
1476028469,12.37
1476032070,12.37
1476035671,12.33
1476039272,12.27
1476042873,12.27
1476046474,12.21
1476050075,12.12
1476053676,12.07
1476057277,12.01
1476060879,12.06
1476064480,12.07
1476068081,12.05
1476071682,12.07
1476075282,12.05
1476078883,12.03
1476082484,12.00
1476086085,11.99
1476089685,11.98
1476093286,11.96
1476096887,11.96
1476100488,11.92
1476104088,11.86
1476107689,11.88
1476108890,11.85
1476114602,11.71
1476118203,11.71
1476121804,11.68
1476125405,11.83
1476129005,11.85
1476132606,11.88
1476136208,11.88
1476139808,11.88
1476143409,11.88
1476147010,11.87
1476150611,11.80
1476154213,11.77
1476157813,11.74
1476161415,11.76
1476165016,11.87
1476168616,11.92
1476172217,12.07
1476175818,12.15
1476179418,12.07
1476183020,12.06
1476186621,12.09
1476190222,12.11
1476193823,12.07
1476197424,11.99
1476201025,11.90
1476204626,11.94
1476208226,12.12
1476211827,12.06
1476215428,11.99
1476219092,12.02
1476222696,12.01
1476226298,11.93
1476229899,11.88
1476233499,11.85
1476237100,11.80
1476240701,11.81
1476244302,11.79
1476247905,11.80
1476251506,11.76
1476255107,11.81
1476258708,11.75
1476262308,11.78
1476265909,11.89
1476269510,11.96
1476273111,12.06
1476276711,11.97
1476280312,11.95
1476283913,11.94
1476287514,11.92
1476291115,11.92
1476294716,11.92
1476298317,11.95
1476301918,11.93
1476305519,11.87
1476309119,11.84
1476312720,11.79
1476316321,11.76
1476319922,11.83
1476323522,11.83
1476327123,11.74
1476330724,11.78
1476334325,11.93
1476337926,12.01
1476341526,12.07
1476345127,12.00
1476348728,12.01
1476352328,12.01
1476355929,11.99
